Timestamp,Childe/Zhongli,Diluc/Kaeya,Venti/Xiao,Albedo/Kaeya,Childe/Lumine,Chongyun/Xingqiu,Aether/Xiao,Ayato/Thoma,Beidou/Ningguang,Raiden/Yae
2022-07-18 22:17:26.749492,9324,4776,3408,2849,2812,2729,2477,1730,1996,1505
2022-07-18 23:29:01.382066,9325,4776,3408,2849,2812,2729,2477,1730,1996,1505
