Timestamp,Childe/Zhongli,Diluc/Kaeya,Venti/Xiao,Albedo/Kaeya,Childe/Lumine,Chongyun/Xingqiu,Aether/Xiao,Ayato/Thoma,Beidou/Ningguang,Raiden/Yae
2022-07-18 22:17:26.749492,9324,4776,3408,2849,2812,2729,2477,1730,1996,1505
2022-07-18 23:29:01.382066,9325,4776,3408,2849,2812,2729,2477,1730,1996,1505
2022-07-19 06:19:59.456112,9333,4781,3411,2849,2813,2729,2479,1732,1996,1508
2022-07-19 07:05:33.012820,9333,4781,3410,2848,2812,2729,2479,1731,1996,1508
2022-07-19 07:34:29.665679,9332,4781,3409,2848,2812,2729,2479,1731,1996,1508
2022-07-20 03:59:57.012100,9349,4786,3406,2853,2821,2727,2485,1732,2000,1515
2022-07-20 15:20:53.063075,9370,4786,3407,2856,2830,2727,2486,1734,1999,1515
2022-07-21 08:41:30.336125,9407,4791,3411,2863,2841,2729,2491,1735,2004,1518
